Type,Value
Data Source,Cold_11LTAN_Nominal_500 : TMD : THERMAL_REVAMP1_COLD_11L
Element,69607
,
,
Time[s],Temperature
0.0,-19.550663424619465
1.0,-19.5412484684556
2.0,-19.531883993970133
3.0,-19.522568039559104
4.0,-19.513302567842576
5.0,-19.50408939172531
6.0,-19.494887200873887
7.0,-19.48565438125314
8.0,-19.47639230944134
9.0,-19.467102216165642
10.0,-19.45778520461303
11.0,-19.448409668138495
12.0,-19.438943580052925
13.0,-19.429387857151248
14.0,-19.419743354937538
15.0,-19.41001086800745
16.0,-19.400161702194453
17.0,-19.390166826174
18.0,-19.38002726209434
19.0,-19.369743998128996
20.0,-19.35931798061115
21.0,-19.348772555129813
22.0,-19.338131364704775
23.0,-19.32739491716416
24.0,-19.31656367801767
25.0,-19.30563808516945
26.0,-19.294644349092597
27.0,-19.28360930600128
28.0,-19.272533093809177
29.0,-19.261415809778278
30.0,-19.25025753146021
31.0,-19.239085557163346
32.0,-19.227928126413886
33.0,-19.216785166707723
34.0,-19.2056565608052
35.0,-19.19454217401787
36.0,-19.183469927821562
37.0,-19.172468923997496
38.0,-19.161538924184356
39.0,-19.150679637031054
40.0,-19.139890750074812
41.0,-19.129192726998358
42.0,-19.11860690910528
43.0,-19.10813270512759
44.0,-19.097769485848012
45.0,-19.087516611159316
46.0,-19.077382567665367
47.0,-19.06737645391495
48.0,-19.057497757364615
49.0,-19.04774593728226
50.0,-19.0381204383186
51.0,-19.028637306276178
52.0,-19.01931348775739
53.0,-19.01014817403128
54.0,-19.00114052342427
55.0,-18.992289690093852
56.0,-18.983603906807918
57.0,-18.975092086828532
58.0,-18.96675344622241
59.0,-18.958587178335044
60.0,-18.950592470540695
61.0,-18.94278112534349
62.0,-18.93516582660486
63.0,-18.927745619007144
64.0,-18.92051951832919
65.0,-18.913486537760203
66.0,-18.906658814907864
67.0,-18.900049480416637
68.0,-18.893657385147463
69.0,-18.887481351784217
70.0,-18.88152020477147
71.0,-18.875774901337092
72.0,-18.870246601420416
73.0,-18.864934151015905
74.0,-18.859836393365555
75.0,-18.854952173926527
76.0,-18.850244920748843
77.0,-18.84567480142469
78.0,-18.841240940957206
79.0,-18.8369425617666
80.0,-18.832778893278896
81.0,-18.828703235918063
82.0,-18.824664220331165
83.0,-18.820661248118192
84.0,-18.816693863598616
85.0,-18.81276162782055
86.0,-18.808851319380874
87.0,-18.80494834910847
88.0,-18.80105237693039
89.0,-18.797163114268837
90.0,-18.79328028570153
91.0,-18.789399212432397
92.0,-18.785514722236552
93.0,-18.781626597329357
94.0,-18.777734643947223
95.0,-18.773838677890986
96.0,-18.769930854028416
97.0,-18.766002404864125
98.0,-18.762053211761163
99.0,-18.758083189431414
100.0,-18.75409226008095
101.0,-18.75007645101245
102.0,-18.74603130315171
103.0,-18.741956791801027
104.0,-18.73785291159913
105.0,-18.733719662338494
106.0,-18.72955599938872
107.0,-18.725360757213327
108.0,-18.72113398133305
109.0,-18.71687572457064
110.0,-18.712586042640368
111.0,-18.708273414016922
112.0,-18.7039475323497
113.0,-18.699608434385272
114.0,-18.69525612477272
115.0,-18.69089060859288
116.0,-18.686523468300408
117.0,-18.682168028806217
118.0,-18.677824245981885
119.0,-18.673492027314325
120.0,-18.66917127941403
121.0,-18.664870325921843
122.0,-18.66059882114657
123.0,-18.656356638983127
124.0,-18.652143615930036
125.0,-18.64795958740103
126.0,-18.643810463547112
127.0,-18.63970316118674
128.0,-18.635637494872157
129.0,-18.631613250731316
130.0,-18.627630213898144
131.0,-18.623692745254044
132.0,-18.619805996229235
133.0,-18.615969734022013
134.0,-18.612183703492654
135.0,-18.60844764879132
136.0,-18.604765154883708
137.0,-18.601140496905757
138.0,-18.597573401349752
139.0,-18.594063575423657
140.0,-18.590610726024764
141.0,-18.58721704917792
142.0,-18.583885204028128
143.0,-18.580614882151927
144.0,-18.577405762577502
145.0,-18.574257524675176
146.0,-18.571171378826943
147.0,-18.568148832990705
148.0,-18.56518956007939
149.0,-18.562293225697907
150.0,-18.55945949642185
151.0,-18.556688751950915
152.0,-18.553981515598196
153.0,-18.551337451905347
154.0,-18.548756222872164
155.0,-18.546237491989125
156.0,-18.543780953040297
157.0,-18.541386308411678
158.0,-18.539053227933323
159.0,-18.536781382910068
160.0,-18.534570446328107
161.0,-18.532419496590087
162.0,-18.530327486937832
163.0,-18.528294102941945
164.0,-18.526319035524164
165.0,-18.524401977410022
166.0,-18.522542645400303
167.0,-18.520740767292597
168.0,-18.51899604794964
169.0,-18.51730819381081
170.0,-18.515676913011934
171.0,-18.514101990081816
172.0,-18.512583232753247
173.0,-18.511120360500325
174.0,-18.509713093875252
175.0,-18.508361154994276
176.0,-18.507064422302673
177.0,-18.505822818269362
178.0,-18.504636077312355
179.0,-18.50350393420515
180.0,-18.502426125104822
181.0,-18.50140289677788
182.0,-18.500434630834306
183.0,-18.49952107628173
184.0,-18.49866197985729
185.0,-18.497857089470234
186.0,-18.49710775284174
187.0,-18.496415737622428
188.0,-18.495780801696657
189.0,-18.495202692640643
190.0,-18.494681158878475
191.0,-18.494218106280478
192.0,-18.493816018064084
193.0,-18.493474644943475
194.0,-18.49319372277588
195.0,-18.492972988097723
196.0,-18.49281461145299
197.0,-18.492721433065682
198.0,-18.49269318931824
199.0,-18.49272959912993
200.0,-18.49283038207897
201.0,-18.49299820059322
202.0,-18.49323655028895
203.0,-18.49354514927908
204.0,-18.493923693777184
205.0,-18.494371880738
206.0,-18.494893070453983
207.0,-18.49549168763096
208.0,-18.496167422839804
209.0,-18.496919938305624
210.0,-18.497748896869222
211.0,-18.49865792406384
212.0,-18.499651838135925
213.0,-18.50073030896554
214.0,-18.501892974385942
215.0,-18.50313947228213
216.0,-18.50447271281649
217.0,-18.505896624411513
218.0,-18.507410859834906
219.0,-18.509015044255957
220.0,-18.510708802582595
221.0,-18.512494878023467
222.0,-18.51437701450946
223.0,-18.516354857169706
224.0,-18.518428023721146
225.0,-18.52059613128919
226.0,-18.522863452685392
227.0,-18.525235770270804
228.0,-18.527712693455495
229.0,-18.530293791118755
230.0,-18.532978632586175
231.0,-18.535773700443517
232.0,-18.538687770387273
233.0,-18.541720388670875
234.0,-18.54487104112683
235.0,-18.54813921606314
236.0,-18.551529949605456
237.0,-18.555050177714836
238.0,-18.55869939266534
239.0,-18.562477037283397
240.0,-18.56638255669842
241.0,-18.570419187015233
242.0,-18.57459148485907
243.0,-18.57889888273462
244.0,-18.58334077938734
245.0,-18.587916576083344
246.0,-18.592630573965245
247.0,-18.59748881433846
248.0,-18.602490667793116
249.0,-18.607635460143847
250.0,-18.61292252014426
251.0,-18.618355911943958
252.0,-18.623941512937183
253.0,-18.62967877038065
254.0,-18.635567084515767
