Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_2 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_3 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_4 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_5 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_6 : TMD : BAGHEATERSHEHE_COLD_11LT
Element,272,Element,272,Element,272,Element,272,Element,272,Element,272
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,-10.223669422391305,0.0,-10.223669422391305,0.0,-10.223669422391305,0.0,-10.223669422391305,0.0,-10.223669422391305,0.0,-10.223669422391305
10.0,-10.223648148035974,10.0,-10.223648148035974,10.0,-10.223648148035974,10.0,-10.223648148035974,10.0,-10.223648148035974,10.0,-10.223648148035974
20.0,-10.223626962286197,20.0,-10.223626962286197,20.0,-10.223626962286197,20.0,-10.223626962286197,20.0,-10.223626962286197,20.0,-10.223626962286197
30.0,-10.22360586703912,30.0,-10.22360586703912,30.0,-10.22360586703912,30.0,-10.22360586703912,30.0,-10.22360586703912,30.0,-10.22360586703912
40.0,-10.223584862833219,40.0,-10.223584862833219,40.0,-10.223584862833219,40.0,-10.223584862833219,40.0,-10.223584862833219,40.0,-10.223584862833219
50.0,-10.223563950197113,50.0,-10.223563950197113,50.0,-10.223563950197113,50.0,-10.223563950197113,50.0,-10.223563950197113,50.0,-10.223563950197113
60.0,-10.223543129648347,60.0,-10.223543129648347,60.0,-10.223543129648347,60.0,-10.223543129648347,60.0,-10.223543129648347,60.0,-10.223543129648347
70.0,-10.22352240169286,70.0,-10.22352240169286,70.0,-10.22352240169286,70.0,-10.22352240169286,70.0,-10.22352240169286,70.0,-10.22352240169286
80.0,-10.22350176682422,80.0,-10.22350176682422,80.0,-10.22350176682422,80.0,-10.22350176682422,80.0,-10.22350176682422,80.0,-10.22350176682422
90.0,-10.223481225523548,90.0,-10.223481225523548,90.0,-10.223481225523548,90.0,-10.223481225523548,90.0,-10.223481225523548,90.0,-10.223481225523548
100.0,-10.223460778260646,100.0,-10.223460778260646,100.0,-10.223460778260646,100.0,-10.223460778260646,100.0,-10.223460778260646,100.0,-10.223460778260646
110.0,-10.22344042549701,110.0,-10.22344042549701,110.0,-10.22344042549701,110.0,-10.22344042549701,110.0,-10.22344042549701,110.0,-10.22344042549701
120.0,-10.223420167688094,120.0,-10.223420167688094,120.0,-10.223420167688094,120.0,-10.223420167688094,120.0,-10.223420167688094,120.0,-10.223420167688094
130.0,-10.223400005284912,130.0,-10.223400005284912,130.0,-10.223400005284912,130.0,-10.223400005284912,130.0,-10.223400005284912,130.0,-10.223400005284912
140.0,-10.223379938735143,140.0,-10.223379938735143,140.0,-10.223379938735143,140.0,-10.223379938735143,140.0,-10.223379938735143,140.0,-10.223379938735143
150.0,-10.223359968483585,150.0,-10.223359968483585,150.0,-10.223359968483585,150.0,-10.223359968483585,150.0,-10.223359968483585,150.0,-10.223359968483585
160.0,-10.223340094972603,160.0,-10.223340094972603,160.0,-10.223340094972603,160.0,-10.223340094972603,160.0,-10.223340094972603,160.0,-10.223340094972603
170.0,-10.223320318642363,170.0,-10.223320318642363,170.0,-10.223320318642363,170.0,-10.223320318642363,170.0,-10.223320318642363,170.0,-10.223320318642363
180.0,-10.223300639930601,180.0,-10.223300639930601,180.0,-10.223300639930601,180.0,-10.223300639930601,180.0,-10.223300639930601,180.0,-10.223300639930601
190.0,-10.22328105927233,190.0,-10.22328105927233,190.0,-10.22328105927233,190.0,-10.22328105927233,190.0,-10.22328105927233,190.0,-10.22328105927233
200.0,-10.223261577099315,200.0,-10.223261577099315,200.0,-10.223261577099315,200.0,-10.223261577099315,200.0,-10.223261577099315,200.0,-10.223261577099315
210.0,-10.223242193839779,210.0,-10.223242193839779,210.0,-10.223242193839779,210.0,-10.223242193839779,210.0,-10.223242193839779,210.0,-10.223242193839779
220.0,-10.223222909917839,220.0,-10.223222909917839,220.0,-10.223222909917839,220.0,-10.223222909917839,220.0,-10.223222909917839,220.0,-10.223222909917839
230.0,-10.2232037257533,230.0,-10.2232037257533,230.0,-10.2232037257533,230.0,-10.2232037257533,230.0,-10.2232037257533,230.0,-10.2232037257533
240.0,-10.223184641761344,240.0,-10.223184641761344,240.0,-10.223184641761344,240.0,-10.223184641761344,240.0,-10.223184641761344,240.0,-10.223184641761344
250.0,-10.223165658352208,250.0,-10.223165658352208,250.0,-10.223165658352208,250.0,-10.223165658352208,250.0,-10.223165658352208,250.0,-10.223165658352208
260.0,-10.223146775931795,260.0,-10.223146775931795,260.0,-10.223146775931795,260.0,-10.223146775931795,260.0,-10.223146775931795,260.0,-10.223146775931795
270.0,-10.223127994902214,270.0,-10.223127994902214,270.0,-10.223127994902214,270.0,-10.223127994902214,270.0,-10.223127994902214,270.0,-10.223127994902214
280.0,-10.223109315662333,280.0,-10.223109315662333,280.0,-10.223109315662333,280.0,-10.223109315662333,280.0,-10.223109315662333,280.0,-10.223109315662333
290.0,-10.223090738607679,290.0,-10.223090738607679,290.0,-10.223090738607679,290.0,-10.223090738607679,290.0,-10.223090738607679,290.0,-10.223090738607679
300.0,-10.223072264130694,300.0,-10.223072264130694,300.0,-10.223072264130694,300.0,-10.223072264130694,300.0,-10.223072264130694,300.0,-10.223072264130694
310.0,-10.2230538926204,310.0,-10.2230538926204,310.0,-10.2230538926204,310.0,-10.2230538926204,310.0,-10.2230538926204,310.0,-10.2230538926204
320.0,-10.22303562446238,320.0,-10.22303562446238,320.0,-10.22303562446238,320.0,-10.22303562446238,320.0,-10.22303562446238,320.0,-10.22303562446238
330.0,-10.223017460038527,330.0,-10.223017460038527,330.0,-10.223017460038527,330.0,-10.223017460038527,330.0,-10.223017460038527,330.0,-10.223017460038527
340.0,-10.222999399726985,340.0,-10.222999399726985,340.0,-10.222999399726985,340.0,-10.222999399726985,340.0,-10.222999399726985,340.0,-10.222999399726985
350.0,-10.222981443902338,350.0,-10.222981443902338,350.0,-10.222837875494394,350.0,-10.222694308228162,350.0,-10.222694308228162,350.0,-10.222694308228162
360.0,-10.222963592935654,360.0,-10.222963592935654,360.0,-9.84318028465913,360.0,-9.463394476874,360.0,-9.463394476874,360.0,-9.463394476874
370.0,-10.222945847195126,370.0,-10.222945847195126,370.0,-9.497356064039717,370.0,-8.771764936144097,370.0,-8.771764936144097,370.0,-8.771764936144097
380.0,-10.222928207046332,380.0,-10.222928207046332,380.0,-9.188322641389274,380.0,-8.153717516610078,380.0,-8.153717516610078,380.0,-8.153717516610078
390.0,-10.22291067285253,390.0,-10.22291067285253,390.0,-8.910515318673625,390.0,-7.598122841979729,390.0,-7.598122841979729,390.0,-7.598122841979729
400.0,-10.222893244975127,400.0,-10.222893244975127,400.0,-8.659281784406614,400.0,-7.09567627711159,400.0,-7.09567627711159,400.0,-7.09567627711159
410.0,-10.222875923773898,410.0,-10.222875923773898,410.0,-8.430727828197796,410.0,-6.638589370487081,410.0,-6.638589370487081,410.0,-6.638589370487081
420.0,-10.222858709606479,420.0,-10.222858709606479,420.0,-8.221589529958774,420.0,-6.220334241493412,420.0,-6.220334241493412,420.0,-6.220334241493412
430.0,-10.222841602828142,430.0,-10.222841602828142,430.0,-8.029127342368614,430.0,-5.835431751110959,430.0,-5.835431751110959,430.0,-5.835431751110959
440.0,-10.222824603791263,440.0,-10.222824603791263,440.0,-7.851038284957901,440.0,-5.479275893704294,440.0,-5.479275893704294,440.0,-5.479275893704294
450.0,-10.222807712845405,450.0,-10.222807712845405,450.0,-7.685383124791603,450.0,-5.1479881605642355,450.0,-5.1479881605642355,450.0,-5.1479881605642355
460.0,-10.222790930337071,460.0,-10.222790930337071,460.0,-7.530525960636845,460.0,-4.838296709451121,460.0,-4.838296709451121,460.0,-4.838296709451121
470.0,-10.222774256609696,470.0,-10.222774256609696,470.0,-7.385084075122218,470.0,-4.547436069486296,470.0,-4.547436069486296,470.0,-4.547436069486296
480.0,-10.222757692003817,480.0,-10.222757692003817,480.0,-7.247886289210723,480.0,-4.273063850263105,480.0,-4.273063850263105,480.0,-4.273063850263105
490.0,-10.222741236856917,490.0,-10.222741236856917,490.0,-7.117938358867575,490.0,-4.013191535096833,490.0,-4.013191535096833,490.0,-4.013191535096833
500.0,-10.222724891503745,500.0,-10.222724891503745,500.0,-6.994394206296949,500.0,-3.7661269432671247,500.0,-3.7661269432671247,500.0,-3.7661269432671247
510.0,-10.22270865627621,510.0,-10.22270865627621,510.0,-6.876531986781631,510.0,-3.5304263633901978,510.0,-3.5304263633901978,510.0,-3.5304263633901978
520.0,-10.222692531503625,520.0,-10.222692531503625,520.0,-6.7637341646125915,520.0,-3.304854704940947,520.0,-3.304854704940947,520.0,-3.304854704940947
530.0,-10.222676517512603,530.0,-10.222676517512603,530.0,-6.655470914140927,530.0,-3.0883523000183746,530.0,-3.0883523000183746,530.0,-3.0883523000183746
540.0,-10.222660614627348,540.0,-10.222660614627348,540.0,-6.55128627982099,540.0,-2.8800072231089486,540.0,-2.8800072231089486,540.0,-2.8800072231089486
550.0,-10.22264482316949,550.0,-10.22264482316949,550.0,-6.4507866265387825,550.0,-2.679032191445597,550.0,-2.679032191445597,550.0,-2.679032191445597
560.0,-10.222629143458397,560.0,-10.222629143458397,560.0,-6.353630992077174,560.0,-2.48474526967059,560.0,-2.48474526967059,560.0,-2.48474526967059
570.0,-10.22261357581063,570.0,-10.22261357581063,570.0,-6.259523020193027,570.0,-2.2965537357527364,570.0,-2.2965537357527364,570.0,-2.2965537357527364
580.0,-10.222598120539159,580.0,-10.222598120539159,580.0,-6.168204207886978,580.0,-2.113940575321364,580.0,-2.113940575321364,580.0,-2.113940575321364
590.0,-10.222582777952548,590.0,-10.222582777952548,590.0,-6.079448246037187,590.0,-1.9364531627560884,590.0,-1.9364531627560884,590.0,-1.9364531627560884
600.0,-10.222495763781254,600.0,-10.222495763781254,600.0,-5.993056270290128,600.0,-1.7636937628158567,600.0,-1.7636937628158567,600.0,-1.7636937628158567
610.0,-10.032661639690462,610.0,-10.032661639690462,610.0,-5.908852870320869,610.0,-1.5953115490300747,610.0,-1.5953115490300747,610.0,-1.5953115490300747
620.0,-9.859743197049726,620.0,-9.859743197049726,620.0,-5.826682731419443,620.0,-1.4309958867612327,620.0,-1.4309958867612327,620.0,-1.4309958867612327
630.0,-9.705220145044606,630.0,-9.705220145044606,630.0,-5.746407803758539,630.0,-1.2704706716477516,630.0,-1.2704706716477516,630.0,-1.2704706716477516
640.0,-9.566310130969136,640.0,-9.566310130969136,640.0,-5.667904912421151,640.0,-1.113489549581753,640.0,-1.113489549581753,640.0,-1.113489549581753
650.0,-9.440686999579178,650.0,-9.440686999579178,650.0,-5.59106373594936,650.0,-0.9598318737415161,650.0,-0.9598318737415161,650.0,-0.9598318737415161
660.0,-9.326403648657244,660.0,-9.326403648657244,660.0,-5.515785093343901,660.0,-0.8092992785370043,660.0,-0.8092992785370043,660.0,-0.8092992785370043
670.0,-9.221828122479486,670.0,-9.221828122479486,670.0,-5.441979489531826,670.0,-0.6617127704994319,670.0,-0.6617127704994319,670.0,-0.6617127704994319
680.0,-9.12559065230791,680.0,-9.12559065230791,680.0,-5.369565877683396,680.0,-0.516910252878387,680.0,-0.516910252878387,680.0,-0.516910252878387
690.0,-9.036539752962991,690.0,-9.036539752962991,690.0,-5.298470603702235,690.0,-0.3747444145901491,690.0,-0.3747444145901491,690.0,-0.3747444145901491
700.0,-8.953705812879045,700.0,-8.953705812879045,700.0,-5.228626503969591,700.0,-0.2350809256809205,700.0,-0.2350809256809205,700.0,-0.2350809256809205
710.0,-8.876258663296959,710.0,-8.876258663296959,710.0,-5.159960941230966,710.0,-0.09777451241861251,710.0,-0.09777451241861251,710.0,-0.09777451241861251
720.0,-8.803513189246454,720.0,-8.803513189246454,720.0,-5.092422484201569,720.0,0.03727769155688907,720.0,0.03727769155688907,720.0,0.03727769155688907
730.0,-8.734892810727588,730.0,-8.734892810727588,730.0,-5.025967616701043,730.0,0.17016272385135972,730.0,0.17016272385135972,730.0,0.17016272385135972
740.0,-8.66989986778554,740.0,-8.66989986778554,740.0,-4.9605480842924905,740.0,0.30097709529961325,740.0,0.30097709529961325,740.0,0.30097709529961325
750.0,-8.608110882341894,750.0,-8.608110882341894,750.0,-4.89611924518677,750.0,0.42981009126327324,750.0,0.42981009126327324,750.0,0.42981009126327324
760.0,-8.54916457346987,760.0,-8.54916457346987,760.0,-4.832639689795724,760.0,0.5567445325531251,760.0,0.5567445325531251,760.0,0.5567445325531251
770.0,-8.492751880420819,770.0,-8.492751880420819,770.0,-4.770070909473283,770.0,0.68185743797158,770.0,0.68185743797158,770.0,0.68185743797158
780.0,-8.43860765097414,780.0,-8.43860765097414,780.0,-4.708377007417847,780.0,0.805220602531221,780.0,0.805220602531221,780.0,0.805220602531221
790.0,-8.38650371155138,790.0,-8.38650371155138,790.0,-4.647524445640473,790.0,0.9269011035405769,790.0,0.9269011035405769,790.0,0.9269011035405769
800.0,-8.336243084319046,800.0,-8.336243084319046,800.0,-4.587481822834622,800.0,1.0469617448845878,800.0,1.0469617448845878,800.0,1.0469617448845878
810.0,-8.287655156856065,810.0,-8.287655156856065,810.0,-4.528219678777261,810.0,1.1654614482334127,810.0,1.1654614482334127,810.0,1.1654614482334127
820.0,-8.240591643341851,820.0,-8.240591643341851,820.0,-4.469710321570216,820.0,1.2824555985611579,820.0,1.2824555985611579,820.0,1.2824555985611579
