Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Orbital_cold_case_9_12_25 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_9_12_25 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_9_12_25 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_9_12_25 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_9_12_25 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_9_12_25 : TMD : ACUBESAT_10_12_25_PLEASE
Element,Bag_2_P,Element,ISIS_BatteryPack,Element,H001_powerApplied,Element,H003_powerApplied,Element,H004_powerApplied,Element,H005_powerApplied
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value
0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,25.00049732664877,200.0,25.05624979740127,200.0,0.0,200.0,0.10099992930000004,200.0,0.0,200.0,0.0
400.0,25.00236771219837,400.0,25.19554194199634,400.0,0.0,400.0,0.10099992930000004,400.0,0.0,400.0,0.0
600.0,25.004865996431633,600.0,25.332845621110803,600.0,0.0,600.0,0.10099992930000004,600.0,0.0,600.0,0.0
800.0,25.00878400067308,800.0,25.514420494805233,800.0,0.0,800.0,0.10099992930000004,800.0,0.0,800.0,0.0
1000.0,25.013307412689738,1000.0,25.677809288280628,1000.0,0.0,1000.0,0.10099992930000004,1000.0,0.0,1000.0,0.0
1200.0,25.017573894576447,1200.0,25.83182573445118,1200.0,0.0,1200.0,0.10099992930000004,1200.0,0.0,1200.0,0.0
1400.0,25.023339448264657,1400.0,25.999771290842343,1400.0,0.0,1400.0,0.10099992930000004,1400.0,0.0,1400.0,0.0
1600.0,25.031975917947914,1600.0,26.10345435474145,1600.0,0.0,1600.0,0.10099992930000004,1600.0,0.0,1600.0,0.0
1800.0,25.040408801595753,1800.0,26.170952144898077,1800.0,0.0,1800.0,0.10099992930000004,1800.0,0.0,1800.0,0.0
2000.0,25.045466653007857,2000.0,26.213615013715916,2000.0,0.0,2000.0,0.10099992930000004,2000.0,0.0,2000.0,0.0
2200.0,25.0449797485947,2200.0,26.23967674594254,2200.0,0.0,2200.0,0.10099992930000004,2200.0,0.0,2200.0,0.0
2400.0,25.038717629229833,2400.0,26.288814423637422,2400.0,0.0,2400.0,0.10099992930000004,2400.0,0.0,2400.0,0.0
2600.0,25.028649107334104,2600.0,26.342423393183527,2600.0,0.0,2600.0,0.10099992930000004,2600.0,0.0,2600.0,0.0
2800.0,25.015648503978174,2800.0,26.39100182851666,2800.0,0.0,2800.0,0.10099992930000004,2800.0,0.0,2800.0,0.0
3000.0,24.9998202693223,3000.0,26.43323064763034,3000.0,0.0,3000.0,0.10099992930000004,3000.0,0.0,3000.0,0.0
3200.0,24.98136555273437,3200.0,26.47072034386859,3200.0,0.0,3200.0,0.10099992930000004,3200.0,0.0,3200.0,0.0
3400.0,24.960398078738706,3400.0,26.50249684730645,3400.0,0.0,3400.0,0.10099992930000004,3400.0,0.0,3400.0,0.0
3600.0,24.941553974155998,3600.0,26.551259477634165,3600.0,0.0,3600.0,0.10099992930000004,3600.0,0.0,3600.0,0.0
3800.0,24.91172567306745,3800.0,26.62105861769779,3800.0,0.0,3800.0,0.10099992930000004,3800.0,0.0,3800.0,0.0
4000.0,24.88597069201581,4000.0,26.6794402783153,4000.0,0.0,4000.0,0.10099992930000004,4000.0,0.0,4000.0,0.0
4200.0,24.869192053648458,4200.0,26.735370773612434,4200.0,0.0,4200.0,0.10099992930000004,4200.0,0.0,4200.0,0.0
4400.0,24.85523755580414,4400.0,26.79878916449252,4400.0,0.0,4400.0,0.10099992930000004,4400.0,0.0,4400.0,0.0
4600.0,24.842887412526306,4600.0,26.865054590673843,4600.0,0.0,4600.0,0.10099992930000004,4600.0,0.0,4600.0,0.0
4800.0,24.830838048534247,4800.0,26.932585717835444,4800.0,0.0,4800.0,0.10099992930000004,4800.0,0.0,4800.0,0.0
5000.0,24.81980985656462,5000.0,26.99838890618572,5000.0,0.0,5000.0,0.10099992930000004,5000.0,0.0,5000.0,0.0
5200.0,24.81051547291973,5200.0,27.051267000455105,5200.0,0.0,5200.0,0.10099992930000004,5200.0,0.0,5200.0,0.0
5400.0,24.80110767851955,5400.0,27.11571631318946,5400.0,0.0,5400.0,0.10099992930000004,5400.0,0.0,5400.0,0.0
5600.0,24.791114946453,5600.0,27.18753366994763,5600.0,0.0,5600.0,0.10099992930000004,5600.0,0.0,5600.0,0.0
5800.0,24.77977679095856,5800.0,27.25458628111092,5800.0,0.0,5800.0,0.10099992930000004,5800.0,0.0,5800.0,0.0
6000.0,24.76975289572597,6000.0,27.3103865625247,6000.0,0.0,6000.0,0.10099992930000004,6000.0,0.0,6000.0,0.0
6200.0,24.75974413773975,6200.0,27.372413494893323,6200.0,0.0,6200.0,0.10099992930000004,6200.0,0.0,6200.0,0.0
6400.0,24.748840661308368,6400.0,27.436358585352206,6400.0,0.0,6400.0,0.10099992930000004,6400.0,0.0,6400.0,0.0
