Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_cold_case_11_12_25_nominal_science_nominal_Yay_finally_1 : TMD : ACUBESAT_10_12_25_PLEASE
Element,Bag_2_P,Element,Container_3_P,Element,ISIS_BatteryPack,Element,MCU_COMMS,Element,H001_powerApplied,Element,H002_powerApplied,Element,H003_powerApplied,Element,H004_powerApplied,Element,H005_powerApplied,Element,H006_powerApplied,Element,H007_powerApplied,Element,H008_powerApplied
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999659999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.09999999659999999,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.09999999659999999,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0,400.0,0.0
600.0,0.0,600.0,0.0,600.0,0.0,600.0,0.09999999659999999,600.0,0.0,600.0,0.0,600.0,0.0,600.0,0.0,600.0,0.0,600.0,0.0,600.0,0.0,600.0,0.0
800.0,0.0,800.0,0.0,800.0,0.0,800.0,0.09999999659999999,800.0,0.0,800.0,0.0,800.0,0.0,800.0,0.0,800.0,0.0,800.0,0.0,800.0,0.0,800.0,0.0
1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.09999999659999999,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0
1200.0,0.0,1200.0,0.0,1200.0,0.0,1200.0,0.09999999659999999,1200.0,0.0,1200.0,0.0,1200.0,0.0,1200.0,0.0,1200.0,0.0,1200.0,0.0,1200.0,0.0,1200.0,0.0
1400.0,0.0,1400.0,0.0,1400.0,0.0,1400.0,0.09999999659999999,1400.0,0.0,1400.0,0.0,1400.0,0.0,1400.0,0.0,1400.0,0.0,1400.0,0.0,1400.0,0.0,1400.0,0.0
