Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE,Data Source,Orbital_hot_case_11_12_25_nominal_science_nominal_work_pretty_please : TMD : ACUBESAT_10_12_25_PLEASE
Element,Bag_2_P,Element,Container_3_P,Element,ISIS_BatteryPack,Element,MCU_COMMS,Element,MCU_OBC_ADCS_down,Element,MCU_OBC_ADCS_up,Element,PDMS_Chip_P,Element,PFVHM_1_P,Element,PFVHM_2_P,Element,SU_MCU_P,Element,H001_powerApplied,Element,H003_powerApplied,Element,H004_powerApplied,Element,H005_powerApplied,Element,H002_powerApplied,Element,H006_powerApplied,Element,H007_powerApplied,Element,H008_powerApplied
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value
0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,24.99996247,1200,25.00247636,1200,24.9967959,1200,25.0592948,1200,25.10043951,1200,25.09102022,1200,25.00004344,1200,25.00130524,1200,25.00145974,1200,29.26519844,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0,1200,0
2400,24.99971167,2400,25.03936884,2400,25.00414769,2400,25.19609647,2400,25.20477693,2400,25.18957799,2400,25.0006839,2400,25.00910399,2400,25.01013471,2400,36.12144917,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0,2400,0
3600,24.99934656,3600,25.05039215,3600,24.99060438,3600,25.35761056,3600,25.27833425,3600,25.26646273,3600,25.00390974,3600,25.02652808,3600,25.02939527,3600,40.52897012,3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,0,3600,0
4800,24.99884553,4800,24.93035134,4800,24.9682941,4800,25.51413915,4800,25.34777115,4800,25.33551124,4800,25.01015824,4800,25.05101023,4800,25.05624465,4800,41.44323242,4800,0,4800,0,4800,0,4800,0,4800,0,4800,0,4800,0,4800,0
