Type,Value,Type,Value
Data Source,Orbital_cold_case_7_12_25_chained_3 : TMD : ACUBESAT_7_12_25_ORBITAL,Data Source,Orbital_cold_case_7_12_25_chained_4 : TMD : ACUBESAT_7_12_25_ORBITAL
Element,H001_powerApplied,Element,H001_powerApplied
,,,
,,,
Time[s],Value,Time[s],Value
0.0,0.0,0.0,0.0
200.0,0.0,200.0,0.828
400.0,0.0,400.0,0.828
600.0,0.0,600.0,0.828
800.0,0.0,800.0,0.828
1000.0,0.0,1000.0,0.828
1200.0,0.0,1200.0,0.828
1400.0,0.0,1400.0,0.828
1600.0,0.0,1600.0,0.828
1800.0,0.0,1800.0,0.828
2000.0,0.0,2000.0,0.828
2200.0,0.0,2200.0,0.828
2400.0,0.0,2400.0,0.828
2600.0,0.0,2600.0,0.828
2800.0,0.0,2800.0,0.828
3000.0,0.0,3000.0,0.828
3200.0,0.0,3200.0,0.828
3400.0,0.0,3400.0,0.828
3600.0,0.0,3600.0,0.828
3800.0,0.0,3800.0,0.828
4000.0,0.0,4000.0,0.828
4200.0,0.0,4200.0,0.828
4400.0,0.0,4400.0,0.828
4600.0,0.0,4600.0,0.828
4800.0,0.0,4800.0,0.828
5000.0,0.0,5000.0,0.828
5200.0,0.0,5200.0,0.828
5400.0,0.0,5400.0,0.828
5600.0,0.0,5600.0,0.828
5800.0,0.0,5800.0,0.828
6000.0,0.0,6000.0,0.828
6200.0,0.0,6200.0,0.828
6400.0,0.0,6400.0,0.828
6600.0,0.0,6600.0,0.828
6800.0,0.0,6800.0,0.828
7000.0,0.0,7000.0,0.828
7200.0,0.0,7200.0,0.828
7400.0,0.0,7400.0,0.828
7600.0,0.0,7600.0,0.828
7800.0,0.0,7800.0,0.828
8000.0,0.0,8000.0,0.828
8200.0,0.0,8200.0,0.828
8400.0,0.0,8400.0,0.828
8600.0,0.0,8600.0,0.828
8800.0,0.0,8800.0,0.828
9000.0,0.0,9000.0,0.828
9200.0,0.0,9200.0,0.828
9400.0,0.0,9400.0,0.828
9600.0,0.0,9600.0,0.828
9800.0,0.0,9800.0,0.828
10000.0,0.0,10000.0,0.828
10200.0,0.0,10200.0,0.828
10400.0,0.0,10400.0,0.828
10600.0,0.0,10600.0,0.828
10800.0,0.0,10800.0,0.828
11000.0,0.0,11000.0,0.828
11200.0,0.0,11200.0,0.828
11400.0,0.0,11400.0,0.828
11600.0,0.0,11600.0,0.828
11800.0,0.0,11800.0,0.828
12000.0,0.0,12000.0,0.828
12200.0,0.0,12200.0,0.828
12400.0,0.0,12400.0,0.828
12600.0,0.0,12600.0,0.828
12800.0,0.0,12800.0,0.828
13000.0,0.0,13000.0,0.828
13200.0,0.0,13200.0,0.828
13400.0,0.0,13400.0,0.828
13600.0,0.0,13600.0,0.828
13800.0,0.0,13800.0,0.828
14000.0,0.0,14000.0,0.828
14200.0,0.0,14200.0,0.828
14400.0,0.0,14400.0,0.828
14600.0,0.0,14600.0,0.828
14800.0,0.0,14800.0,0.828
15000.0,0.0,15000.0,0.828
15200.0,0.0,15200.0,0.828
15400.0,0.0,15400.0,0.828
15600.0,0.0,15600.0,0.828
15800.0,0.0,15800.0,0.828
16000.0,0.0,16000.0,0.828
16200.0,0.0,16200.0,0.828
16400.0,0.0,16400.0,0.828
16600.0,0.0,16600.0,0.828
16800.0,0.0,16800.0,0.828
17000.0,0.0,17000.0,0.828
17200.0,0.0,17200.0,0.828
17400.0,0.0,17400.0,0.828
17600.0,0.0,17600.0,0.828
17800.0,0.0,17800.0,0.828
