Type,Value
Data Source,Cold_11LTAN_Nominal_500 : TMD : THERMAL_REVAMP1_COLD_11L
Element,Vessel
,
,
Time[s],Average Temperature
0.0,-11.144102895457799
1.0,-11.150823091703945
2.0,-11.157533475543474
3.0,-11.164232342983599
4.0,-11.170922204330603
5.0,-11.177604580204656
6.0,-11.184280129933304
7.0,-11.190949208156102
8.0,-11.197612592830694
9.0,-11.204270991941543
10.0,-11.210925028835218
11.0,-11.217574626760861
12.0,-11.224219499356206
13.0,-11.230859989604703
14.0,-11.237496448360744
15.0,-11.244129193701236
16.0,-11.250757647356622
17.0,-11.257381035345066
18.0,-11.263999474675877
19.0,-11.2706131172144
20.0,-11.277222105141774
21.0,-11.283826107521119
22.0,-11.290424771918827
23.0,-11.29701818708454
24.0,-11.303606428377217
25.0,-11.310189558221309
26.0,-11.316767306856066
27.0,-11.323339423203445
28.0,-11.32990593478147
29.0,-11.336466856705174
30.0,-11.343022198500817
31.0,-11.349571682581876
32.0,-11.35611516701289
33.0,-11.362652703817623
34.0,-11.369184317102249
35.0,-11.37571001757476
36.0,-11.382229964551641
37.0,-11.388744443186637
38.0,-11.395253529472889
39.0,-11.4017572409774
40.0,-11.408255574144412
41.0,-11.414748382115501
42.0,-11.421235624006306
43.0,-11.42771737009348
44.0,-11.434193644120802
45.0,-11.440664450123219
46.0,-11.44712996262104
47.0,-11.453590444537289
48.0,-11.460045944042657
49.0,-11.466496464903802
50.0,-11.472941995615797
51.0,-11.479382494560207
52.0,-11.485817978850381
53.0,-11.492248462902884
54.0,-11.498673942779428
55.0,-11.505094407651212
56.0,-11.511509878228747
57.0,-11.51792045224474
58.0,-11.524326156391647
59.0,-11.530726993672616
60.0,-11.53712295826049
61.0,-11.543514151437634
62.0,-11.549900685363694
63.0,-11.556282558096292
64.0,-11.5626597567599
65.0,-11.5690322655018
66.0,-11.57540010594221
67.0,-11.58176332653471
68.0,-11.588121939379748
69.0,-11.59447594317565
70.0,-11.60082533120193
71.0,-11.607170196968509
72.0,-11.613510705344263
73.0,-11.619846885905334
74.0,-11.626178745177985
75.0,-11.632506281360008
76.0,-11.638830282642322
77.0,-11.64515150946448
78.0,-11.651469910896292
79.0,-11.65778544657373
80.0,-11.66409808060198
81.0,-11.670408744356948
82.0,-11.676718340309721
83.0,-11.683026771257877
84.0,-11.689333963987664
85.0,-11.695639856382654
86.0,-11.701944682368135
87.0,-11.708248670035687
88.0,-11.71455175029481
89.0,-11.720853867678267
90.0,-11.727154975855186
91.0,-11.733455200402119
92.0,-11.739754667078408
93.0,-11.746053328648088
94.0,-11.752351147015604
95.0,-11.758648091082346
96.0,-11.764944487514398
97.0,-11.77124065210644
98.0,-11.777536519067123
99.0,-11.783832038707363
100.0,-11.790127172698998
101.0,-11.796422272774855
102.0,-11.802717682732549
103.0,-11.80901332793767
104.0,-11.81530915007999
105.0,-11.821605104160337
106.0,-11.827901571629138
107.0,-11.834198935255309
108.0,-11.84049711625457
109.0,-11.846796049967658
110.0,-11.85309568560043
111.0,-11.85939610722968
112.0,-11.865697412606934
113.0,-11.87199955806259
114.0,-11.878302502889982
115.0,-11.884606213328464
