Type,Value
Data Source,Cold_11LTAN_Comissioning_Detumbling_500 : TMD : THERMAL_REVAMP3_COLD_11L
Element,73013
,
,
Time[s],Temperature
0.0,-8.607185190541477
1.0,-8.611001232255658
2.0,-8.614818329505782
3.0,-8.618636330647444
4.0,-8.622455119005252
5.0,-8.626274622287191
6.0,-8.630094787501774
7.0,-8.633915506410778
8.0,-8.637736631061705
9.0,-8.641557979502673
10.0,-8.645379340242005
11.0,-8.649200500820397
12.0,-8.653021339151044
13.0,-8.656841806137793
14.0,-8.660661907096506
15.0,-8.66448169233563
16.0,-8.668301257404831
17.0,-8.672120773050793
18.0,-8.675940460928079
19.0,-8.679760574650247
20.0,-8.683581391043365
21.0,-8.68740318855989
22.0,-8.691226181344074
23.0,-8.695050537512383
24.0,-8.69887640086174
25.0,-8.702703897357043
26.0,-8.706533125809125
27.0,-8.710364106165365
28.0,-8.714196799769306
29.0,-8.71803112780128
30.0,-8.721866979445393
31.0,-8.725704207374168
32.0,-8.729542585473796
33.0,-8.733381829607474
34.0,-8.737221616349368
35.0,-8.741061593118834
36.0,-8.74490140719423
37.0,-8.748740802044814
38.0,-8.752579594812584
39.0,-8.756417644615656
40.0,-8.760254842991891
41.0,-8.764091132054178
42.0,-8.767926595546998
43.0,-8.771761419312355
44.0,-8.775595859191244
45.0,-8.779430224551104
46.0,-8.783264852985255
47.0,-8.787100055152958
48.0,-8.790936119509283
49.0,-8.7947733202725
50.0,-8.798611918888149
51.0,-8.80245214834755
52.0,-8.8062941411259
53.0,-8.810137957478211
54.0,-8.813983618034873
55.0,-8.817831114634464
56.0,-8.821680392985389
57.0,-8.825531261388079
58.0,-8.82938343046712
59.0,-8.833236545041563
60.0,-8.837090200103072
61.0,-8.840943966702165
62.0,-8.844797450809386
63.0,-8.848650285418948
64.0,-8.85250211629932
65.0,-8.856352600909252
66.0,-8.860201452964942
67.0,-8.86404862521702
68.0,-8.867894242000673
69.0,-8.871738537999596
70.0,-8.875581831299746
71.0,-8.879424496063113
72.0,-8.88326692852561
73.0,-8.887109536992028
74.0,-8.890952735782099
75.0,-8.894796939678344
76.0,-8.898642537018878
77.0,-8.902489785660682
78.0,-8.906338849737658
79.0,-8.910189841308457
80.0,-8.914042834001547
81.0,-8.91789785480286
82.0,-8.92175482371635
83.0,-8.925613584456242
84.0,-8.929473927255945
85.0,-8.93333560120582
86.0,-8.937198306952846
87.0,-8.941061628285683
88.0,-8.94492507169081
89.0,-8.948788096213839
90.0,-8.952650129343619
91.0,-8.956510627755815
92.0,-8.96036927865367
93.0,-8.964225934687049
94.0,-8.968080556144502
95.0,-8.9719331881608
96.0,-8.97578396372703
97.0,-8.979633190733523
98.0,-8.983481295705664
99.0,-8.987328773138948
100.0,-8.991176162638068
101.0,-8.995024005617712
102.0,-8.998872720738488
103.0,-9.00272263514563
104.0,-9.00657402011716
105.0,-9.010427101594038
106.0,-9.014282053157276
107.0,-9.018138937908514
108.0,-9.021997741987544
109.0,-9.025858404607579
110.0,-9.029720829815096
111.0,-9.033584879123794
112.0,-9.037450313256649
113.0,-9.04131682640816
114.0,-9.045184071936603
115.0,-9.04905167545383
116.0,-9.052919260902186
117.0,-9.056786520244135
118.0,-9.06065319567503
119.0,-9.064519058441203
120.0,-9.068383905014413
121.0,-9.07224758478142
122.0,-9.076110123379348
123.0,-9.079971671364367
124.0,-9.083832460353936
125.0,-9.08769278318374
126.0,-9.09155296250466
127.0,-9.095413277464576
128.0,-9.099273968824015
129.0,-9.103135250848025
130.0,-9.106997313749858
131.0,-9.11086030994892
132.0,-9.114724282425941
133.0,-9.118589196386692
134.0,-9.122454973685349
135.0,-9.126321503564629
136.0,-9.130188655649592
137.0,-9.134056323125765
138.0,-9.137924422932885
139.0,-9.141792880210396
140.0,-9.145661624628506
141.0,-9.149530604581946
142.0,-9.153399853016108
143.0,-9.157269460264377
144.0,-9.1611395449065
145.0,-9.165010245990636
146.0,-9.168881715506645
147.0,-9.172754093662679
148.0,-9.176627511838356
149.0,-9.180502104872309
150.0,-9.184378013186247
151.0,-9.188255364812326
152.0,-9.192134195465092
153.0,-9.19601447369411
154.0,-9.199896129837379
155.0,-9.203779066900642
156.0,-9.207663144929658
157.0,-9.211548077645219
158.0,-9.215433475968473
159.0,-9.21931889247298
160.0,-9.223203839106782
161.0,-9.227087827682102
162.0,-9.230970507094534
163.0,-9.2348516324823
164.0,-9.238731022245263
165.0,-9.24260854271374
166.0,-9.246484136395102
167.0,-9.250357994873477
168.0,-9.25423048321687
169.0,-9.258102069576866
170.0,-9.261973295144383
171.0,-9.26584473021744
172.0,-9.26971687118536
173.0,-9.273590153393352
174.0,-9.277464967212667
175.0,-9.281341662838372
176.0,-9.285220536134313
177.0,-9.289101740329833
178.0,-9.292985324491339
179.0,-9.296871269504262
180.0,-9.30075950558006
181.0,-9.30464990906452
182.0,-9.308542223204622
183.0,-9.312436103331947
184.0,-9.316331165694352
185.0,-9.320227005477614
186.0,-9.324123230765878
187.0,-9.328019575967364
188.0,-9.331915869987663
189.0,-9.335811997911854
190.0,-9.339707888052903
191.0,-9.343603512666817
192.0,-9.347498934717278
193.0,-9.351394280892757
194.0,-9.355289714283977
195.0,-9.359185422260225
196.0,-9.363081605791272
197.0,-9.36697846131501
198.0,-9.3708761740822
199.0,-9.37477492338984
200.0,-9.378674881381425
201.0,-9.382576198938382
202.0,-9.386478949812883
203.0,-9.390383145444497
204.0,-9.394288749951
205.0,-9.398195688204101
206.0,-9.40210385340785
207.0,-9.406013115381219
208.0,-9.409923337011044
209.0,-9.413834375416029
210.0,-9.417746085168421
211.0,-9.421658337198767
212.0,-9.425571090531813
213.0,-9.429484374259303
214.0,-9.433398268137498
215.0,-9.437312893767766
216.0,-9.441228401765605
217.0,-9.445144941918596
218.0,-9.449062659158944
219.0,-9.452981701687799
220.0,-9.456902220828919
221.0,-9.460824357530578
222.0,-9.464748188198989
223.0,-9.468673738312955
224.0,-9.472600995817483
225.0,-9.47652991737917
226.0,-9.480460413318312
227.0,-9.484392243575279
228.0,-9.48832505924236
229.0,-9.4922584495512
230.0,-9.496191960332157
231.0,-9.50012512244603
232.0,-9.504057531270862
233.0,-9.507988836030407
234.0,-9.511918716358919
235.0,-9.515846877995521
236.0,-9.519773092343378
237.0,-9.523697401668583
238.0,-9.527620048361632
239.0,-9.531541395500405
240.0,-9.535461895545419
241.0,-9.539382036601719
242.0,-9.54330218642726
243.0,-9.547222614120232
244.0,-9.55114353008137
245.0,-9.555065096757232
246.0,-9.55898743430979
247.0,-9.56291060759065
248.0,-9.566834640679646
249.0,-9.57075953468981
250.0,-9.574685273202707
251.0,-9.578611819948629
252.0,-9.582539106554192
253.0,-9.586467047391295
254.0,-9.590395541780316
255.0,-9.594324476181336
256.0,-9.598253745218301
257.0,-9.602183338380396
258.0,-9.606113314724153
259.0,-9.61004377330301
260.0,-9.61397484456523
261.0,-9.617906680805833
262.0,-9.621839436401425
263.0,-9.625773264733208
264.0,-9.629708315220254
265.0,-9.633644733043228
266.0,-9.637582630192105
267.0,-9.641521922918306
268.0,-9.645462380298996
269.0,-9.64940369650141
270.0,-9.6533455155966
271.0,-9.65728746078804
272.0,-9.661229214392018
273.0,-9.665170513335728
274.0,-9.669111128302482
275.0,-9.673050857269386
276.0,-9.676989527562691
277.0,-9.680927030893653
278.0,-9.684863305701267
279.0,-9.68879831775042
280.0,-9.69273205277325
281.0,-9.696664533700405
282.0,-9.700595934175944
283.0,-9.704526535959173
284.0,-9.708456683566911
285.0,-9.712386764944073
286.0,-9.716317183184845
287.0,-9.72024828576012
288.0,-9.724180366976361
289.0,-9.728113677900069
290.0,-9.732048429939928
291.0,-9.735984787563257
292.0,-9.739922809008934
293.0,-9.743862474512277
294.0,-9.747803711526661
295.0,-9.751746406964978
296.0,-9.755690421263653
297.0,-9.759635608335548
298.0,-9.763581828337932
299.0,-9.767528956836724
300.0,-9.771476887380878
301.0,-9.775425545446806
302.0,-9.779374964553588
303.0,-9.78332525887475
304.0,-9.787276589042111
305.0,-9.791229150039827
306.0,-9.795183148095173
307.0,-9.799138715248954
308.0,-9.803095922014561
309.0,-9.80705481014086
310.0,-9.81101540086792
311.0,-9.814977687293103
312.0,-9.818941576775954
313.0,-9.822906912300068
314.0,-9.82687349316465
315.0,-9.830841084482605
316.0,-9.834809419203356
317.0,-9.838778165419074
318.0,-9.842746946984464
319.0,-9.846715360622659
320.0,-9.85068298552457
321.0,-9.854649429847655
322.0,-9.858614536028867
323.0,-9.862578328738541
324.0,-9.86654094394612
325.0,-9.870502603826049
326.0,-9.87446358769523
327.0,-9.878424180013987
328.0,-9.88238466062627
329.0,-9.88634530571542
330.0,-9.890306384738807
331.0,-9.894268130189685
332.0,-9.898230576897827
333.0,-9.902193604823466
334.0,-9.906157004359935
335.0,-9.9101204987508
336.0,-9.914083766997324
337.0,-9.91804649251976
338.0,-9.922008375495183
339.0,-9.925969127491221
340.0,-9.92992847108426
341.0,-9.933886177388827
342.0,-9.937842273956145
343.0,-9.94179698240635
344.0,-9.94575063688255
345.0,-9.949703654485157
346.0,-9.953656497312451
347.0,-9.957609584705155
348.0,-9.961563292377571
349.0,-9.96551796312827
350.0,-9.969473908626892
351.0,-9.973431391118746
352.0,-9.977390500776977
353.0,-9.981351194856696
354.0,-9.98531334943238
355.0,-9.989276780715343
356.0,-9.993241278072873
357.0,-9.997206698689837
358.0,-10.001172963964315
359.0,-10.00514004053559
360.0,-10.009107933975562
361.0,-10.01307668540137
362.0,-10.017046388967016
363.0,-10.021017176187417
364.0,-10.024989199977272
365.0,-10.02896262788138
366.0,-10.03293762728459
367.0,-10.036914304171884
368.0,-10.040892713386546
369.0,-10.044872885876185
370.0,-10.048854835781674
371.0,-10.0528385516582
372.0,-10.056823928234138
373.0,-10.060810784713599
374.0,-10.06479889048594
375.0,-10.06878797584933
376.0,-10.072777735520953
377.0,-10.07676779906723
378.0,-10.080757752088813
379.0,-10.08474715327181
380.0,-10.088735543885223
381.0,-10.092722500329534
382.0,-10.096707888778507
383.0,-10.100691806725306
384.0,-10.104674488075252
385.0,-10.108656270569623
386.0,-10.112637552068252
387.0,-10.116618679815133
388.0,-10.12059994921434
389.0,-10.1245816258415
390.0,-10.128563948779163
391.0,-10.132547109478248
392.0,-10.136531108640023
393.0,-10.140515795771242
394.0,-10.14450093362761
395.0,-10.148486220289708
396.0,-10.15247131298786
397.0,-10.156455886219971
398.0,-10.16043964285752
399.0,-10.164422304264969
400.0,-10.168403608564107
401.0,-10.172383343463093
402.0,-10.176361543783912
403.0,-10.180338434493658
404.0,-10.184314349492519
405.0,-10.188289703132677
406.0,-10.192264950438137
407.0,-10.196240480315504
408.0,-10.200216617233789
409.0,-10.204193641232125
410.0,-10.208171792646503
411.0,-10.212151266777324
412.0,-10.216132149521279
413.0,-10.220114442929706
414.0,-10.22409809518355
415.0,-10.228083013828805
416.0,-10.232069080023768
417.0,-10.236056167423731
418.0,-10.240044153859344
419.0,-10.244032930330635
420.0,-10.248022403822807
421.0,-10.252012507094312
422.0,-10.256003258660048
423.0,-10.259994742735497
424.0,-10.263987079973191
425.0,-10.267980417830664
426.0,-10.271974913102877
427.0,-10.275970662451066
428.0,-10.279967709765268
429.0,-10.283966075314684
430.0,-10.287965762235137
431.0,-10.291966747070695
432.0,-10.295968911348968
433.0,-10.299972063227312
434.0,-10.30397596427662
435.0,-10.307980340243873
436.0,-10.311984901804369
437.0,-10.31598941400549
438.0,-10.319993689720183
