Type,Value
Data Source,Hot_Science_6LTAN_600 : TMD : THERMAL_REVAMP3_HOT_SCIE
Element,PanelX_Minus1
,
,
Time[s],Average Temperature
0.0,7.288899121904568
1.0,7.262648732586646
2.0,7.23695366738953
3.0,7.211763227640198
4.0,7.187038673738612
5.0,7.162746459713382
6.0,7.138856281938577
7.0,7.11534098506591
8.0,7.092177428348096
9.0,7.06934479577305
10.0,7.046824271534428
11.0,7.02459861448726
12.0,7.002651994423672
13.0,6.980970454671578
14.0,6.959541298327502
15.0,6.938352930729292
16.0,6.917394818796862
17.0,6.896657476256211
18.0,6.876132039211314
19.0,6.855810372283079
20.0,6.835685001507325
21.0,6.815749115498471
22.0,6.7959966580134346
23.0,6.776421763896136
24.0,6.757018985156718
25.0,6.737783287548608
26.0,6.718710117548786
27.0,6.699795885151429
28.0,6.681036632475688
29.0,6.662428548822611
30.0,6.643968096542454
31.0,6.6256520032823625
32.0,6.607477441997107
33.0,6.589441593910282
34.0,6.571541758563668
35.0,6.553775414985538
36.0,6.536140339937343
37.0,6.518637896217036
38.0,6.501267482792765
39.0,6.484026976673755
40.0,6.46691438309245
41.0,6.449927878995814
42.0,6.433070765408415
43.0,6.416344615568218
44.0,6.399747703185428
45.0,6.383278391942368
46.0,6.366935122955804
47.0,6.35072267100056
48.0,6.334645762700733
49.0,6.318702858337981
50.0,6.302892491875651
51.0,6.287213260909723
52.0,6.271669654718925
53.0,6.256269072804819
54.0,6.241010137538946
55.0,6.225891434745925
56.0,6.210911605477064
57.0,6.196072469319782
58.0,6.181379515071183
59.0,6.166831442813129
60.0,6.152426752058526
61.0,6.138164007740109
62.0,6.124042430069173
63.0,6.11006252420472
64.0,6.096222954687304
65.0,6.082522282644328
66.0,6.068959125273575
67.0,6.055532190179484
68.0,6.042240356741898
69.0,6.02908235554412
70.0,6.016056929588751
71.0,6.003162868095992
72.0,5.9903985394660415
73.0,5.977759384590556
74.0,5.9652436919018035
75.0,5.95285049965135
76.0,5.940578865297353
77.0,5.928427546611482
78.0,5.9163915966415965
79.0,5.904468931413534
80.0,5.892658737421392
81.0,5.880960209049426
82.0,5.869372302780157
83.0,5.8578876709023655
84.0,5.846502679770242
85.0,5.835216696889233
86.0,5.824029090040761
87.0,5.81293912772557
88.0,5.801936613683472
89.0,5.791014794442211
90.0,5.780173330254997
91.0,5.76941186008043
92.0,5.758730011332895
93.0,5.748121515781952
94.0,5.737580239195161
95.0,5.727106018904157
96.0,5.7166986639025765
97.0,5.706357961296644
98.0,5.696080196433788
99.0,5.685859937186647
100.0,5.675697022035323
101.0,5.665591320620052
102.0,5.655542679271208
103.0,5.645552116011187
104.0,5.635622037243648
105.0,5.625752251386575
106.0,5.61594246277174
107.0,5.606192370407844
108.0,5.596500478294926
109.0,5.586862690954483
110.0,5.577278529352375
111.0,5.567747804172437
112.0,5.558270310288852
113.0,5.548844116530144
114.0,5.539460828785721
115.0,5.530119280608611
116.0,5.520819397117577
117.0,5.511561083936732
118.0,5.502344050136743
119.0,5.493166814831925
120.0,5.48402895951556
121.0,5.474930341816498
122.0,5.465870810086239
123.0,5.456850095701604
124.0,5.447866657936969
125.0,5.43891993159267
126.0,5.430009772617659
127.0,5.42113602893383
128.0,5.41229862965097
129.0,5.403499724932545
130.0,5.394740150541105
131.0,5.386019685047052
132.0,5.377338106292564
133.0,5.368695196937553
134.0,5.360091563516813
135.0,5.351527515185455
136.0,5.343002796363137
137.0,5.334517149419528
138.0,5.3260703159212825
139.0,5.31765955934028
140.0,5.309282206764907
141.0,5.300938106743987
142.0,5.292627094243202
143.0,5.284348998303435
144.0,5.276103620084972
145.0,5.267890761158474
146.0,5.259710260093628
147.0,5.251561945549983
148.0,5.243445640225701
149.0,5.235361660151969
150.0,5.22731093312968
151.0,5.21929331589046
152.0,5.211308613101049
153.0,5.20335662425501
154.0,5.195436725546723
155.0,5.187547356842253
156.0,5.179688215383477
157.0,5.171859098839699
158.0,5.164059803444137
159.0,5.156290068793642
160.0,5.148549429847856
161.0,5.140837669208561
162.0,5.133154597080838
163.0,5.12550001762527
164.0,5.117873987408946
165.0,5.110278212716865
166.0,5.102712837088488
167.0,5.095177597962125
168.0,5.087672237717854
169.0,5.080196496498529
170.0,5.072750041544518
171.0,5.065332578534529
172.0,5.057943838224459
173.0,5.05058355848647
174.0,5.043251428611062
175.0,5.035945738359848
176.0,5.0286656137242645
177.0,5.021410853788382
178.0,5.014181257505767
179.0,5.006976627750382
180.0,4.999797119715339
181.0,4.99264275919998
182.0,4.985513320519521
183.0,4.978408574796354
184.0,4.971328293193278
185.0,4.964273167760743
186.0,4.957243862615663
187.0,4.950240097340784
188.0,4.943261596948742
189.0,4.9363080903677465
190.0,4.929379210445174
191.0,4.9224745004804324
192.0,4.915593628092404
193.0,4.908736273150015
194.0,4.901902127564119
195.0,4.895090860413875
196.0,4.888302095392871
197.0,4.881535521307219
198.0,4.874790836979252
199.0,4.868067749285254
200.0,4.861366272901293
201.0,4.8546870834954055
202.0,4.848029931231157
203.0,4.8413944959334945
204.0,4.834780467339527
205.0,4.828187625957457
206.0,4.821616070552953
207.0,4.815065549537486
208.0,4.808535761415001
209.0,4.802026412740946
210.0,4.7955372723893595
211.0,4.78906847328621
212.0,4.782619825546658
213.0,4.776191057760632
214.0,4.769781902270366
215.0,4.763392198025022
216.0,4.757023023066702
217.0,4.7506745106445205
218.0,4.7443463701956485
219.0,4.738038315917933
220.0,4.731750147012284
221.0,4.725483739629675
222.0,4.719239769039008
223.0,4.713017927823258
224.0,4.7068179191005886
225.0,4.700639467537147
226.0,4.694483663034994
227.0,4.688351132360369
228.0,4.682241581348614
229.0,4.676154719933449
230.0,4.670090261268206
231.0,4.66404879737852
232.0,4.6580309155057025
233.0,4.652036309775561
234.0,4.646064681389986
235.0,4.640115736325251
236.0,4.634190051268978
237.0,4.628288648678001
238.0,4.622411238421884
239.0,4.616557523471475
240.0,4.610727211665496
241.0,4.60492057630744
242.0,4.59913855485681
243.0,4.593380860239199
244.0,4.587647173455456
245.0,4.5819371868931755
246.0,4.576250651472328
247.0,4.570587448116803
248.0,4.564947324632436
249.0,4.5593300224378
250.0,4.553735287249353
251.0,4.548163188571523
252.0,4.542614986395888
253.0,4.5370905372857715
254.0,4.531589501804663
255.0,4.52611155667541
256.0,4.520656568479835
257.0,4.515225560374958
258.0,4.509818476360945
259.0,4.504434995300955
260.0,4.4990748104318286
261.0,4.493737726026248
262.0,4.488424737214299
263.0,4.4831358938169625
264.0,4.477870857219185
265.0,4.472629313942778
266.0,4.467411070641026
267.0,4.462218586547199
268.0,4.457052737474163
269.0,4.451913149804082
270.0,4.446799478941434
271.0,4.441711421379705
272.0,4.436650782618591
273.0,4.431618613124183
274.0,4.426614536004693
275.0,4.421638196824324
276.0,4.416689260426025
277.0,4.411769879418563
278.0,4.406882322986424
279.0,4.402026494278348
280.0,4.397202335684175
281.0,4.392409783296425
282.0,4.387651591603931
283.0,4.382932119709888
284.0,4.378251668448645
285.0,4.373610531139988
286.0,4.369008964703675
287.0,4.364448461326451
288.0,4.359931979935336
289.0,4.355459617040329
290.0,4.351031332454693
291.0,4.346647075024747
292.0,4.342308367320493
293.0,4.338020243370442
294.0,4.333782960896282
295.0,4.329596398571602
296.0,4.325460455732655
297.0,4.321375803124869
298.0,4.3173460204893415
299.0,4.313371465739533
300.0,4.309452012248987
301.0,4.305587567895994
302.0,4.301778435872163
303.0,4.298027355610428
304.0,4.294334746006141
305.0,4.290700403648263
306.0,4.287124141553767
307.0,4.283606062155647
308.0,4.28014953234603
309.0,4.276755401043167
310.0,4.273423377990187
311.0,4.270153194535848
312.0,4.266944730925109
313.0,4.263801192438415
314.0,4.260723831837415
315.0,4.257712275580203
316.0,4.2547661612888135
317.0,4.251885168756745
318.0,4.249071226751399
319.0,4.246325362498703
320.0,4.243646991132143
321.0,4.241035544700775
322.0,4.238490488917592
323.0,4.236015127199078
324.0,4.233612651595796
325.0,4.2312822379727395
326.0,4.229023080554031
327.0,4.226834414514967
328.0,4.224719118971782
329.0,4.222681859223513
330.0,4.220721692303153
331.0,4.2188376395140335
332.0,4.217028773388647
333.0,4.215296814332609
334.0,4.2136467382142415
335.0,4.2120778472398275
336.0,4.210589225221572
337.0,4.209179997347499
338.0,4.2078511711065225
339.0,4.206607869475595
340.0,4.205449490952665
341.0,4.204374954814091
342.0,4.203383228691698
343.0,4.202473764353295
344.0,4.201647660674949
345.0,4.200904034115049
346.0,4.200241714560959
347.0,4.199659585796223
348.0,4.199157243223941
349.0,4.198738517454436
350.0,4.198402956517582
351.0,4.19814905514892
352.0,4.1979754097822175
353.0,4.197881291231809
354.0,4.197873019354108
355.0,4.197951526160042
356.0,4.198115333454246
357.0,4.1983630486230386
358.0,4.198693612583672
359.0,4.199112684122892
360.0,4.19962211688525
361.0,4.200220612370289
362.0,4.2009069338793665
363.0,4.2016799846406645
364.0,4.202547451645034
365.0,4.2035140531223485
366.0,4.204578502589945
367.0,4.205739546110224
368.0,4.206995972033303
369.0,4.208349389771372
370.0,4.2098011878957955
371.0,4.211349721863752
372.0,4.2129933965982245
373.0,4.214730711435194
374.0,4.216564196133915
375.0,4.218498480257014
376.0,4.220532155538412
377.0,4.222663774147481
378.0,4.224891934303905
379.0,4.227219281084672
380.0,4.2296532539015335
381.0,4.2321924525263075
382.0,4.234835202673134
383.0,4.237579900390892
384.0,4.240426175688997
385.0,4.243376180235276
386.0,4.246428320164043
387.0,4.249580808186699
388.0,4.252831992779625
389.0,4.256465083938067
390.0,4.261830783740844
391.0,4.269012166238109
392.0,4.277901473225321
393.0,4.288398410660515
394.0,4.30019580884119
395.0,4.3116143660959
396.0,4.3223546725724535
397.0,4.332474221899665
398.0,4.3420261437039445
399.0,4.35106034038378
400.0,4.359633657224369
401.0,4.36778967140819
402.0,4.375564979198001
403.0,4.382993483058098
404.0,4.390107170665403
405.0,4.3969490707991215
406.0,4.403549728108177
407.0,4.409931575383743
408.0,4.41611568751664
409.0,4.422121722303645
410.0,4.427965698054985
411.0,4.433662619280098
412.0,4.439227776008129
413.0,4.444675406830606
414.0,4.450018766855151
415.0,4.455275258615283
416.0,4.460461007590802
417.0,4.465585894173091
418.0,4.470659099043236
419.0,4.475689149216743
420.0,4.4806878953405676
421.0,4.485668150254394
422.0,4.4906358695883055
423.0,4.495596538299301
424.0,4.500555262415098
425.0,4.505584319589255
426.0,4.510832827777007
427.0,4.516296001842378
428.0,4.521963503888577
429.0,4.5278257561205235
430.0,4.533876550371798
431.0,4.540115972387137
432.0,4.546536092840383
433.0,4.553128877090624
434.0,4.559886880106684
435.0,4.566801364955436
436.0,4.57385706068176
437.0,4.581047057947807
438.0,4.5883660457146105
439.0,4.5958090768911335
440.0,4.603369681428339
441.0,4.611029342459114
442.0,4.61878130391692
443.0,4.62662204748927
444.0,4.6345482905977375
445.0,4.642556072134188
446.0,4.650630497241096
447.0,4.658765469886269
